Campaign,Ad Group,Final URL,Description,Headline 1,Headline 2
SEM_Instructors,Erin Buchanan,https://www.datacamp.com/instructors/erinbuchanan,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Erin Buchanan,Stand Out From the Crowd
SEM_Instructors,Erin Buchanan,https://www.datacamp.com/instructors/erinbuchanan,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Erin Buchanan,Tackle Complex Questions
SEM_Instructors,Justin Kiggins,https://www.datacamp.com/instructors/justinkiggins,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Justin Kiggins,Boost Your Data Science Career
SEM_Instructors,Justin Kiggins,https://www.datacamp.com/instructors/justinkiggins,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Justin Kiggins,Stand Out From the Crowd
SEM_Instructors,Justin Kiggins,https://www.datacamp.com/instructors/justinkiggins,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Justin Kiggins,Tackle Complex Questions
SEM_Instructors,Pavel Oleinikov,https://www.datacamp.com/instructors/poleinikov,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Pavel Oleinikov,Boost Your Data Science Career
SEM_Instructors,Pavel Oleinikov,https://www.datacamp.com/instructors/poleinikov,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Pavel Oleinikov,Stand Out From the Crowd
SEM_Instructors,Pavel Oleinikov,https://www.datacamp.com/instructors/poleinikov,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Pavel Oleinikov,Tackle Complex Questions
SEM_Instructors,Hana Sevcikova,https://www.datacamp.com/instructors/hanas,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Hana Sevcikova,Boost Your Data Science Career
SEM_Instructors,Hana Sevcikova,https://www.datacamp.com/instructors/hanas,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Hana Sevcikova,Stand Out From the Crowd
SEM_Instructors,Hana Sevcikova,https://www.datacamp.com/instructors/hanas,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Hana Sevcikova,Tackle Complex Questions
SEM_Instructors,Nic Crane,https://www.datacamp.com/instructors/ncrane,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Nic Crane,Boost Your Data Science Career
SEM_Instructors,Nic Crane,https://www.datacamp.com/instructors/ncrane,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Nic Crane,Stand Out From the Crowd
SEM_Instructors,Nic Crane,https://www.datacamp.com/instructors/ncrane,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Nic Crane,Tackle Complex Questions
SEM_Instructors,Aimee Gott,https://www.datacamp.com/instructors/agott,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Aimee Gott,Boost Your Data Science Career
SEM_Instructors,Aimee Gott,https://www.datacamp.com/instructors/agott,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Aimee Gott,Stand Out From the Crowd
SEM_Instructors,Aimee Gott,https://www.datacamp.com/instructors/agott,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Aimee Gott,Tackle Complex Questions
SEM_Instructors,Ryan Hafen,https://www.datacamp.com/instructors/rhafen,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Ryan Hafen,Boost Your Data Science Career
SEM_Instructors,Ryan Hafen,https://www.datacamp.com/instructors/rhafen,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Ryan Hafen,Stand Out From the Crowd
SEM_Instructors,Ryan Hafen,https://www.datacamp.com/instructors/rhafen,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Ryan Hafen,Tackle Complex Questions
SEM_Instructors,Massimo Franceschet,https://www.datacamp.com/instructors/franceschet,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Massimo Franceschet,Boost Your Data Science Career
SEM_Instructors,Massimo Franceschet,https://www.datacamp.com/instructors/franceschet,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Massimo Franceschet,Stand Out From the Crowd
SEM_Instructors,Massimo Franceschet,https://www.datacamp.com/instructors/franceschet,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Massimo Franceschet,Tackle Complex Questions
SEM_Instructors,Ross Bennett,https://www.datacamp.com/instructors/rossbennett34,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Ross Bennett,Boost Your Data Science Career
SEM_Instructors,Ross Bennett,https://www.datacamp.com/instructors/rossbennett34,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Ross Bennett,Stand Out From the Crowd
SEM_Instructors,Ross Bennett,https://www.datacamp.com/instructors/rossbennett34,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Ross Bennett,Tackle Complex Questions
SEM_Instructors,Danielle Quinn,https://www.datacamp.com/instructors/daniellequinn,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Danielle Quinn,Boost Your Data Science Career
SEM_Instructors,Danielle Quinn,https://www.datacamp.com/instructors/daniellequinn,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Danielle Quinn,Stand Out From the Crowd
SEM_Instructors,Danielle Quinn,https://www.datacamp.com/instructors/daniellequinn,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Danielle Quinn,Tackle Complex Questions
SEM_Instructors,Emily Riederer,https://www.datacamp.com/instructors/emilyriederer,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Emily Riederer,Boost Your Data Science Career
SEM_Instructors,Emily Riederer,https://www.datacamp.com/instructors/emilyriederer,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Emily Riederer,Stand Out From the Crowd
SEM_Instructors,Emily Riederer,https://www.datacamp.com/instructors/emilyriederer,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Emily Riederer,Tackle Complex Questions
SEM_Instructors,Colin FAY,https://www.datacamp.com/instructors/colinfay,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Colin FAY,Boost Your Data Science Career
SEM_Instructors,Colin FAY,https://www.datacamp.com/instructors/colinfay,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Colin FAY,Stand Out From the Crowd
SEM_Instructors,Colin FAY,https://www.datacamp.com/instructors/colinfay,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Colin FAY,Tackle Complex Questions
SEM_Instructors,Paula Martinez,https://www.datacamp.com/instructors/orchid00,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Paula Martinez,Boost Your Data Science Career
SEM_Instructors,Paula Martinez,https://www.datacamp.com/instructors/orchid00,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Paula Martinez,Stand Out From the Crowd
SEM_Instructors,Paula Martinez,https://www.datacamp.com/instructors/orchid00,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Paula Martinez,Tackle Complex Questions
SEM_Instructors,Simon Urbanek,https://www.datacamp.com/instructors/simonurbanek,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Simon Urbanek,Boost Your Data Science Career
SEM_Instructors,Simon Urbanek,https://www.datacamp.com/instructors/simonurbanek,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Simon Urbanek,Stand Out From the Crowd
SEM_Instructors,Simon Urbanek,https://www.datacamp.com/instructors/simonurbanek,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Simon Urbanek,Tackle Complex Questions
SEM_Instructors,Michael Kane,https://www.datacamp.com/instructors/kaneplusplus,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Michael Kane,Boost Your Data Science Career
SEM_Instructors,Michael Kane,https://www.datacamp.com/instructors/kaneplusplus,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Michael Kane,Stand Out From the Crowd
SEM_Instructors,Michael Kane,https://www.datacamp.com/instructors/kaneplusplus,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Michael Kane,Tackle Complex Questions
SEM_Instructors,Maria Oskarsdottir,https://www.datacamp.com/instructors/mariaoskarsdottir,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Maria Oskarsdottir,Boost Your Data Science Career
SEM_Instructors,Maria Oskarsdottir,https://www.datacamp.com/instructors/mariaoskarsdottir,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Maria Oskarsdottir,Stand Out From the Crowd
SEM_Instructors,Maria Oskarsdottir,https://www.datacamp.com/instructors/mariaoskarsdottir,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Maria Oskarsdottir,Tackle Complex Questions
SEM_Instructors,Alicia Johnson,https://www.datacamp.com/instructors/ajohns24,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Alicia Johnson,Boost Your Data Science Career
SEM_Instructors,Alicia Johnson,https://www.datacamp.com/instructors/ajohns24,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Alicia Johnson,Stand Out From the Crowd
SEM_Instructors,Alicia Johnson,https://www.datacamp.com/instructors/ajohns24,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Alicia Johnson,Tackle Complex Questions
SEM_Instructors,Surajit Ray,https://www.datacamp.com/instructors/surajitray,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Surajit Ray,Boost Your Data Science Career
SEM_Instructors,Surajit Ray,https://www.datacamp.com/instructors/surajitray,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Surajit Ray,Stand Out From the Crowd
SEM_Instructors,Surajit Ray,https://www.datacamp.com/instructors/surajitray,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Surajit Ray,Tackle Complex Questions
SEM_Instructors,Elea McDonnell Feit,https://www.datacamp.com/instructors/eleafeit,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Elea McDonnell Feit,Boost Your Data Science Career
SEM_Instructors,Elea McDonnell Feit,https://www.datacamp.com/instructors/eleafeit,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Elea McDonnell Feit,Stand Out From the Crowd
SEM_Instructors,Elea McDonnell Feit,https://www.datacamp.com/instructors/eleafeit,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Elea McDonnell Feit,Tackle Complex Questions
SEM_Instructors,Gert  Janssenswillen,https://www.datacamp.com/instructors/gert-janssenswillen,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Gert  Janssenswillen,Boost Your Data Science Career
SEM_Instructors,Gert  Janssenswillen,https://www.datacamp.com/instructors/gert-janssenswillen,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Gert  Janssenswillen,Stand Out From the Crowd
SEM_Instructors,Gert  Janssenswillen,https://www.datacamp.com/instructors/gert-janssenswillen,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Gert  Janssenswillen,Tackle Complex Questions
SEM_Instructors,Deepayan Sarkar,https://www.datacamp.com/instructors/deepayansarkar,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Deepayan Sarkar,Boost Your Data Science Career
SEM_Instructors,Deepayan Sarkar,https://www.datacamp.com/instructors/deepayansarkar,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Deepayan Sarkar,Stand Out From the Crowd
SEM_Instructors,Deepayan Sarkar,https://www.datacamp.com/instructors/deepayansarkar,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Deepayan Sarkar,Tackle Complex Questions
SEM_Instructors,Federico Castanedo,https://www.datacamp.com/instructors/fcastanedo,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Federico Castanedo,Boost Your Data Science Career
SEM_Instructors,Federico Castanedo,https://www.datacamp.com/instructors/fcastanedo,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Federico Castanedo,Stand Out From the Crowd
SEM_Instructors,Federico Castanedo,https://www.datacamp.com/instructors/fcastanedo,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Federico Castanedo,Tackle Complex Questions
SEM_Instructors,Brian M. Mills,https://www.datacamp.com/instructors/bmmillsy,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Brian M. Mills,Boost Your Data Science Career
SEM_Instructors,Brian M. Mills,https://www.datacamp.com/instructors/bmmillsy,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Brian M. Mills,Stand Out From the Crowd
SEM_Instructors,Brian M. Mills,https://www.datacamp.com/instructors/bmmillsy,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Brian M. Mills,Tackle Complex Questions
SEM_Instructors,Kyle Walker,https://www.datacamp.com/instructors/kylewalker,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Kyle Walker,Boost Your Data Science Career
SEM_Instructors,Kyle Walker,https://www.datacamp.com/instructors/kylewalker,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Kyle Walker,Stand Out From the Crowd
SEM_Instructors,Kyle Walker,https://www.datacamp.com/instructors/kylewalker,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Kyle Walker,Tackle Complex Questions
SEM_Instructors,Jake Thompson,https://www.datacamp.com/instructors/wjakethompson,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Jake Thompson,Boost Your Data Science Career
SEM_Instructors,Jake Thompson,https://www.datacamp.com/instructors/wjakethompson,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Jake Thompson,Stand Out From the Crowd
SEM_Instructors,Jake Thompson,https://www.datacamp.com/instructors/wjakethompson,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Jake Thompson,Tackle Complex Questions
